QuoteID,Date,PartDescription,Material,Process,Quantity,LeadTimeWeeks,RushJob,Estimator,TotalPrice_USD
Q-1000,2024-01-20,Sensor Housing - threaded,Inconel 718,Wire EDM,1,3,Yes,Sato-san,703.11
Q-1001,2024-02-06,Manifold Block - complex internal channels,Titanium Grade 5,5-Axis Milling,1,3,No,Sato-san,1559.95
Q-1002,2023-12-29,Manifold Block - complex internal channels,Stainless Steel 17-4 PH,5-Axis Milling,1,11,Yes,Suzuki-san,1898.02
Q-1003,2023-10-09,Sensor Housing - threaded,Titanium Grade 5,Wire EDM,1,5,No,Tanaka-san,678.61
Q-1004,2023-07-10,Turbine Blade Housing - thin walls,Inconel 718,CNC Turning,50,4,No,Suzuki-san,25176.21
Q-1005,2023-01-17,Mounting Bracket - standard,Stainless Steel 17-4 PH,Surface Grinding,50,5,No,Tanaka-san,4436.3
Q-1006,2024-01-30,Turbine Blade Housing - thin walls,Titanium Grade 5,Wire EDM,5,12,No,Suzuki-san,5883.34
Q-1007,2023-08-06,Structural Rib - aerospace grade,Aluminum 6061,CNC Turning,10,8,Yes,Tanaka-san,1782.77
Q-1008,2023-11-24,Fuel Injector Nozzle - high precision,Inconel 718,CNC Turning,1,4,No,Tanaka-san,1042.29
Q-1009,2023-06-30,Actuator Linkage,Inconel 718,Wire EDM,10,8,No,Suzuki-san,4190.68
Q-1010,2024-02-24,Fuel Injector Nozzle - high precision,Inconel 718,Wire EDM,10,5,No,Suzuki-san,9893.48
Q-1011,2023-08-31,Structural Rib - aerospace grade,Titanium Grade 5,Surface Grinding,50,5,No,Suzuki-san,6640.92
Q-1012,2024-03-05,Structural Rib - aerospace grade,Aluminum 7075,Wire EDM,50,3,No,Suzuki-san,13373.39
Q-1013,2023-12-11,Manifold Block - complex internal channels,Aluminum 7075,Wire EDM,10,12,No,Tanaka-san,9519.46
Q-1014,2023-08-09,Sensor Housing - threaded,Aluminum 6061,5-Axis Milling,10,10,No,Sato-san,3035.98
Q-1015,2023-12-16,Turbine Blade Housing - thin walls,Aluminum 6061,3-Axis Milling,100,12,No,Suzuki-san,26620.6
Q-1016,2023-12-01,Turbine Blade Housing - thin walls,Aluminum 7075,3-Axis Milling,1,9,No,Suzuki-san,542.45
Q-1017,2023-10-29,Landing Gear Pin - hardened,Inconel 718,Wire EDM,10,12,No,Suzuki-san,4593.57
Q-1018,2023-10-29,Manifold Block - complex internal channels,Inconel 718,CNC Turning,50,10,No,Suzuki-san,25603.09
Q-1019,2023-09-02,Structural Rib - aerospace grade,Aluminum 7075,3-Axis Milling,100,12,Yes,Tanaka-san,18690.61
Q-1020,2024-03-24,Manifold Block - complex internal channels,Inconel 718,Surface Grinding,20,11,No,Tanaka-san,11957.94
Q-1021,2023-04-13,Actuator Linkage,Titanium Grade 5,Wire EDM,100,4,No,Suzuki-san,25700.45
Q-1022,2023-05-24,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,Wire EDM,100,2,No,Tanaka-san,28831.76
Q-1023,2023-01-29,Sensor Housing - threaded,Aluminum 6061,CNC Turning,5,12,No,Tanaka-san,768.89
Q-1024,2024-03-19,Structural Rib - aerospace grade,Inconel 718,3-Axis Milling,20,7,No,Suzuki-san,4780.41
Q-1025,2023-04-13,Heat Sink - high fin density,Titanium Grade 5,Wire EDM,50,2,No,Sato-san,13633.33
Q-1026,2023-02-08,Mounting Bracket - standard,,Wire EDM,20,5,No,Tanaka-san,5718.76
Q-1027,2023-11-24,Fuel Injector Nozzle - high precision,Inconel 718,CNC Turning,100,3,No,Sato-san,40333.56
Q-1028,2023-04-21,Sensor Housing - threaded,Titanium Grade 5,CNC Turning,1,5,No,Tanaka-san,355.25
Q-1029,2023-03-30,Turbine Blade Housing - thin walls,Aluminum 6061,5-Axis Milling,10,8,No,Tanaka-san,10236.94
Q-1030,2024-03-21,Sensor Housing - threaded,Inconel 718,5-Axis Milling,10,9,No,Suzuki-san,4646.29
Q-1031,2024-03-08,Fuel Injector Nozzle - high precision,Aluminum 6061,Surface Grinding,100,9,No,Tanaka-san,16145.72
Q-1032,2023-06-18,Sensor Housing - threaded,Titanium Grade 5,Wire EDM,10,7,No,Sato-san,3452.67
Q-1033,2023-01-16,Turbine Blade Housing - thin walls,Titanium Grade 5,,1,7,Yes,Sato-san,1108.79
Q-1034,2023-07-23,Heat Sink - high fin density,Aluminum 7075,Surface Grinding,20,3,No,Tanaka-san,2083.05
Q-1035,2023-03-18,Fuel Injector Nozzle - high precision,Stainless Steel 17-4 PH,5-Axis Milling,50,2,No,Tanaka-san,44947.95
Q-1036,2023-05-01,Mounting Bracket - standard,Aluminum 6061,,100,3,No,Tanaka-san,21191.86
Q-1037,2023-05-27,Electronic Chassis - EMI shielded,Aluminum 6061,3-Axis Milling,50,12,No,Suzuki-san,5894.94
Q-1038,2023-04-20,Landing Gear Pin - hardened,Aluminum 7075,5-Axis Milling,5,5,No,Tanaka-san,2591.01
Q-1039,2023-10-21,Mounting Bracket - standard,Aluminum 7075,5-Axis Milling,5,10,No,Sato-san,1529.78
Q-1040,2023-11-11,Mounting Bracket - standard,Aluminum 6061,3-Axis Milling,100,6,No,Suzuki-san,9575.44
Q-1041,2024-03-16,Sensor Housing - threaded,Titanium Grade 5,Wire EDM,20,4,No,Sato-san,6504.84
Q-1042,2023-02-01,Structural Rib - aerospace grade,Stainless Steel 17-4 PH,CNC Turning,5,10,No,Suzuki-san,866.6
Q-1043,2023-12-31,Turbine Blade Housing - thin walls,Aluminum 7075,5-Axis Milling,1,10,No,Tanaka-san,1625.44
Q-1044,2024-02-02,Sensor Housing - threaded,Aluminum 7075,3-Axis Milling,20,12,No,Suzuki-san,2814.48
Q-1045,2023-11-05,Mounting Bracket - standard,Stainless Steel 17-4 PH,Wire EDM,5,4,Yes,Suzuki-san,1814.52
Q-1046,2023-09-05,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,Wire EDM,20,10,No,Sato-san,13097.46
Q-1047,2023-02-15,Heat Sink - high fin density,Stainless Steel 17-4 PH,5-Axis Milling,10,2,No,Suzuki-san,4242.69
Q-1048,2023-08-25,Electronic Chassis - EMI shielded,Aluminum 6061,3-Axis Milling,10,3,No,Suzuki-san,1608.89
Q-1049,2024-01-05,Actuator Linkage,Aluminum 6061,Surface Grinding,5,5,No,Sato-san,403.75
Q-1050,2023-03-23,Sensor Housing - threaded,Aluminum 6061,CNC Turning,5,3,No,Suzuki-san,645.12
Q-1051,2023-02-21,Manifold Block - complex internal channels,Titanium Grade 5,Wire EDM,50,10,No,Tanaka-san,46236.35
Q-1052,2023-10-13,Structural Rib - aerospace grade,Inconel 718,CNC Turning,100,4,No,Sato-san,16251.68
Q-1053,2024-02-19,Fuel Injector Nozzle - high precision,Stainless Steel 17-4 PH,CNC Turning,100,10,No,Tanaka-san,34889.18
Q-1054,2023-04-06,Fuel Injector Nozzle - high precision,Inconel 718,3-Axis Milling,1,2,No,Suzuki-san,1034.48
Q-1055,2024-03-08,Sensor Housing - threaded,Titanium Grade 5,Wire EDM,50,4,No,Tanaka-san,19329.03
Q-1056,2023-02-06,Fuel Injector Nozzle - high precision,,Surface Grinding,1,8,No,Sato-san,273.51
Q-1057,2024-01-02,Structural Rib - aerospace grade,Titanium Grade 5,CNC Turning,5,10,No,Suzuki-san,1263.88
Q-1058,2023-06-28,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,5-Axis Milling,20,5,Yes,Tanaka-san,10415.16
Q-1059,2023-10-26,Structural Rib - aerospace grade,Titanium Grade 5,Surface Grinding,1,5,No,Suzuki-san,229.51
Q-1060,2023-02-07,Electronic Chassis - EMI shielded,Aluminum 7075,Surface Grinding,50,11,No,Sato-san,3323.63
Q-1061,2024-03-25,Manifold Block - complex internal channels,Titanium Grade 5,Surface Grinding,100,2,No,Suzuki-san,29297.39
Q-1062,2023-04-25,Electronic Chassis - EMI shielded,Aluminum 6061,3-Axis Milling,10,4,No,Tanaka-san,1948.99
Q-1063,2023-09-11,Mounting Bracket - standard,Titanium Grade 5,Surface Grinding,10,2,No,Tanaka-san,1679.26
Q-1064,2024-01-18,Electronic Chassis - EMI shielded,Aluminum 7075,3-Axis Milling,5,12,No,Suzuki-san,1005.87
Q-1065,2023-11-21,Sensor Housing - threaded,Aluminum 6061,5-Axis Milling,20,5,No,Tanaka-san,7842.79
Q-1066,2023-06-07,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,3-Axis Milling,50,12,No,Sato-san,18436.94
Q-1067,2023-09-24,Actuator Linkage,Titanium Grade 5,5-Axis Milling,100,11,Yes,Suzuki-san,43268.08
Q-1068,2023-03-09,Fuel Injector Nozzle - high precision,Inconel 718,5-Axis Milling,1,5,Yes,Tanaka-san,2869.51
Q-1069,2023-06-06,Heat Sink - high fin density,Stainless Steel 17-4 PH,3-Axis Milling,100,12,No,Sato-san,12097.23
Q-1070,2024-03-10,Mounting Bracket - standard,Aluminum 6061,3-Axis Milling,20,6,No,Tanaka-san,2836.71
Q-1071,2023-11-10,Heat Sink - high fin density,Stainless Steel 17-4 PH,Wire EDM,1,10,No,Sato-san,441.84
Q-1072,2023-10-11,Sensor Housing - threaded,Aluminum 7075,5-Axis Milling,10,7,No,Suzuki-san,3494.86
Q-1073,2023-04-20,Landing Gear Pin - hardened,,,100,11,No,Sato-san,7633.55
Q-1074,2023-05-21,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,CNC Turning,1,11,No,Tanaka-san,700.33
Q-1075,2023-10-29,Structural Rib - aerospace grade,Stainless Steel 17-4 PH,3-Axis Milling,10,4,Yes,Suzuki-san,2381.39
Q-1076,2023-09-30,Structural Rib - aerospace grade,Titanium Grade 5,3-Axis Milling,100,7,No,Tanaka-san,18931.1
Q-1077,2023-04-30,Manifold Block - complex internal channels,Aluminum 6061,Wire EDM,100,8,No,Suzuki-san,52506.09
Q-1078,2023-07-13,Fuel Injector Nozzle - high precision,Aluminum 6061,Wire EDM,50,9,No,Sato-san,26186.92
Q-1079,2024-03-20,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,Wire EDM,100,3,No,Suzuki-san,22586.23
Q-1080,2023-12-29,Landing Gear Pin - hardened,Inconel 718,5-Axis Milling,1,7,Yes,Sato-san,798.34
Q-1081,2024-03-11,Actuator Linkage,Titanium Grade 5,Wire EDM,5,7,No,Tanaka-san,2449.25
Q-1082,2023-02-22,Actuator Linkage,Inconel 718,Wire EDM,50,4,No,Suzuki-san,15975.89
Q-1083,2023-03-28,Electronic Chassis - EMI shielded,Stainless Steel 17-4 PH,CNC Turning,20,7,No,Suzuki-san,2943.63
Q-1084,2024-03-04,Electronic Chassis - EMI shielded,Inconel 718,Wire EDM,100,2,Yes,Sato-san,35409.46
Q-1085,2023-09-25,Manifold Block - complex internal channels,Titanium Grade 5,5-Axis Milling,5,11,No,Tanaka-san,7695.76
Q-1086,2024-02-22,Actuator Linkage,Aluminum 6061,3-Axis Milling,5,10,No,Sato-san,760.76
Q-1087,2023-02-28,Mounting Bracket - standard,Inconel 718,Surface Grinding,5,9,Yes,Sato-san,1029.88
Q-1088,2023-12-10,Heat Sink - high fin density,Stainless Steel 17-4 PH,3-Axis Milling,10,5,No,Sato-san,1634.07
Q-1089,2023-02-20,Electronic Chassis - EMI shielded,Aluminum 7075,3-Axis Milling,100,10,No,Sato-san,10517.76
Q-1090,2024-02-04,Electronic Chassis - EMI shielded,Aluminum 7075,CNC Turning,100,11,No,Tanaka-san,10892.15
Q-1091,2023-01-15,Electronic Chassis - EMI shielded,Titanium Grade 5,CNC Turning,20,9,Yes,Suzuki-san,4820.16
Q-1092,2023-09-17,Turbine Blade Housing - thin walls,Inconel 718,Wire EDM,5,11,No,Tanaka-san,6481.69
Q-1093,2024-01-12,Fuel Injector Nozzle - high precision,Aluminum 6061,CNC Turning,1,12,No,Sato-san,370.17
Q-1094,2023-08-28,Fuel Injector Nozzle - high precision,Titanium Grade 5,3-Axis Milling,10,11,No,Tanaka-san,6644.44
Q-1095,2023-05-03,Manifold Block - complex internal channels,Aluminum 6061,5-Axis Milling,1,4,Yes,Sato-san,1650.63
Q-1096,2023-03-18,Sensor Housing - threaded,Inconel 718,3-Axis Milling,10,2,No,Sato-san,2682.92
Q-1097,2023-06-23,Heat Sink - high fin density,Titanium Grade 5,CNC Turning,50,8,Yes,Tanaka-san,13613.61
Q-1098,2023-11-25,Actuator Linkage,Stainless Steel 17-4 PH,CNC Turning,100,3,No,Suzuki-san,11597.5
Q-1099,2023-04-25,Landing Gear Pin - hardened,Aluminum 7075,Surface Grinding,100,8,No,Sato-san,6115.49
Q-1100,2023-08-06,Turbine Blade Housing - thin walls,Inconel 718,5-Axis Milling,1,3,No,Sato-san,1486.32
Q-1101,2023-01-04,Landing Gear Pin - hardened,Inconel 718,5-Axis Milling,5,12,No,Tanaka-san,3152.1
Q-1102,2023-08-22,Actuator Linkage,Inconel 718,Surface Grinding,50,3,No,Suzuki-san,7866.95
Q-1103,2023-07-02,Sensor Housing - threaded,Aluminum 7075,CNC Turning,50,6,No,Sato-san,4434.12
Q-1104,2023-02-19,Actuator Linkage,Stainless Steel 17-4 PH,3-Axis Milling,100,8,No,Suzuki-san,14394.53
Q-1105,2023-02-08,Sensor Housing - threaded,Inconel 718,Surface Grinding,1,11,No,Suzuki-san,313.4
Q-1106,2024-01-01,Actuator Linkage,Stainless Steel 17-4 PH,3-Axis Milling,5,10,No,Suzuki-san,1096.28
Q-1107,2023-08-04,Actuator Linkage,Inconel 718,5-Axis Milling,5,11,No,Sato-san,2686.96
Q-1108,2024-02-18,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,5-Axis Milling,5,11,No,Tanaka-san,2763.58
Q-1109,2023-06-14,Actuator Linkage,,5-Axis Milling,20,6,No,Sato-san,6456.87
Q-1110,2023-06-03,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,5-Axis Milling,50,8,No,Tanaka-san,44273.25
Q-1111,2024-03-23,Landing Gear Pin - hardened,Titanium Grade 5,Wire EDM,50,6,No,Suzuki-san,14351.22
Q-1112,2024-01-14,Structural Rib - aerospace grade,Stainless Steel 17-4 PH,Wire EDM,10,8,No,Suzuki-san,3279.53
Q-1113,2023-10-15,Sensor Housing - threaded,Aluminum 6061,CNC Turning,1,10,No,Tanaka-san,208.57
Q-1114,2024-01-10,Landing Gear Pin - hardened,Inconel 718,3-Axis Milling,10,12,No,Tanaka-san,3555.17
Q-1115,2023-01-23,Heat Sink - high fin density,Inconel 718,3-Axis Milling,20,2,No,Tanaka-san,5927.13
Q-1116,2023-06-22,Structural Rib - aerospace grade,Aluminum 6061,5-Axis Milling,20,9,No,Tanaka-san,7762.37
Q-1117,2023-11-24,Landing Gear Pin - hardened,Titanium Grade 5,Surface Grinding,10,6,No,Suzuki-san,1769.0
Q-1118,2024-03-17,Structural Rib - aerospace grade,Inconel 718,5-Axis Milling,100,12,No,Suzuki-san,35829.59
Q-1119,2023-01-18,Actuator Linkage,Aluminum 6061,3-Axis Milling,20,6,No,Sato-san,2339.28
Q-1120,2023-01-01,Manifold Block - complex internal channels,Aluminum 6061,Surface Grinding,50,8,No,Tanaka-san,9738.53
Q-1121,2023-11-15,Electronic Chassis - EMI shielded,Aluminum 6061,Surface Grinding,100,7,No,Tanaka-san,6635.1
Q-1122,2023-05-09,Turbine Blade Housing - thin walls,Aluminum 6061,5-Axis Milling,5,10,Yes,Suzuki-san,7125.72
Q-1123,2023-10-29,Landing Gear Pin - hardened,Aluminum 7075,CNC Turning,20,8,No,Tanaka-san,2859.83
Q-1124,2023-05-31,Electronic Chassis - EMI shielded,Stainless Steel 17-4 PH,Surface Grinding,20,4,No,Tanaka-san,2616.15
Q-1125,2023-12-06,Mounting Bracket - standard,Aluminum 7075,3-Axis Milling,100,12,Yes,Suzuki-san,13653.48
Q-1126,2023-02-02,Structural Rib - aerospace grade,,CNC Turning,20,3,No,Sato-san,4329.33
Q-1127,2024-01-18,Sensor Housing - threaded,Titanium Grade 5,5-Axis Milling,10,3,No,Tanaka-san,5029.56
Q-1128,2023-04-16,Heat Sink - high fin density,Stainless Steel 17-4 PH,3-Axis Milling,10,5,No,Sato-san,1913.76
Q-1129,2023-08-05,Heat Sink - high fin density,Aluminum 7075,CNC Turning,50,11,No,Tanaka-san,5851.85
Q-1130,2023-11-28,Mounting Bracket - standard,Stainless Steel 17-4 PH,Surface Grinding,1,7,Yes,Tanaka-san,228.62
Q-1131,2023-09-02,Turbine Blade Housing - thin walls,,5-Axis Milling,20,6,No,Sato-san,16152.22
Q-1132,2023-06-04,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,CNC Turning,1,4,No,Sato-san,550.29
Q-1133,2023-02-21,Turbine Blade Housing - thin walls,Titanium Grade 5,3-Axis Milling,50,9,No,Tanaka-san,27346.89
Q-1134,2023-03-25,Landing Gear Pin - hardened,Aluminum 6061,5-Axis Milling,50,8,No,Sato-san,13591.35
Q-1135,2024-03-11,Electronic Chassis - EMI shielded,Titanium Grade 5,3-Axis Milling,1,3,No,Sato-san,306.48
Q-1136,2023-05-26,Manifold Block - complex internal channels,Inconel 718,Surface Grinding,20,10,No,Suzuki-san,10477.51
Q-1137,2023-02-04,Turbine Blade Housing - thin walls,Inconel 718,CNC Turning,20,8,No,Sato-san,10956.28
Q-1138,2023-06-24,Manifold Block - complex internal channels,Stainless Steel 17-4 PH,5-Axis Milling,20,8,No,Tanaka-san,21691.85
Q-1139,2024-01-24,Actuator Linkage,Stainless Steel 17-4 PH,Wire EDM,20,4,Yes,Sato-san,6894.38
Q-1140,2023-09-10,Turbine Blade Housing - thin walls,Aluminum 7075,Surface Grinding,50,11,No,Suzuki-san,9195.7
Q-1141,2023-09-27,Sensor Housing - threaded,Aluminum 7075,5-Axis Milling,50,12,No,Tanaka-san,18508.87
Q-1142,2023-12-06,Structural Rib - aerospace grade,Inconel 718,3-Axis Milling,10,10,No,Sato-san,2716.27
Q-1143,2023-06-04,Heat Sink - high fin density,Aluminum 7075,5-Axis Milling,5,2,No,Tanaka-san,2220.22
Q-1144,2023-05-14,Landing Gear Pin - hardened,Stainless Steel 17-4 PH,Wire EDM,20,6,No,Suzuki-san,6563.83
Q-1145,2023-12-02,Manifold Block - complex internal channels,Stainless Steel 17-4 PH,Wire EDM,50,8,No,Suzuki-san,34374.67
Q-1146,2024-01-02,Landing Gear Pin - hardened,Titanium Grade 5,Surface Grinding,20,6,Yes,Suzuki-san,3962.11
Q-1147,2023-06-16,Mounting Bracket - standard,Inconel 718,5-Axis Milling,10,3,No,Suzuki-san,3673.88
Q-1148,2023-03-21,Mounting Bracket - standard,Aluminum 6061,CNC Turning,1,4,No,Sato-san,127.38
Q-1149,2023-07-20,Landing Gear Pin - hardened,Titanium Grade 5,Wire EDM,20,9,Yes,Sato-san,7434.75
Q-1150,2023-11-03,Structural Rib - aerospace grade,Titanium Grade 5,Wire EDM,100,7,No,Sato-san,25550.09
Q-1151,2023-08-18,Fuel Injector Nozzle - high precision,Titanium Grade 5,3-Axis Milling,10,6,No,Suzuki-san,6664.73
Q-1152,2023-07-06,Turbine Blade Housing - thin walls,Stainless Steel 17-4 PH,5-Axis Milling,1,5,No,Sato-san,1270.14
Q-1153,2023-12-06,Landing Gear Pin - hardened,Titanium Grade 5,5-Axis Milling,100,6,No,Suzuki-san,33584.7
Q-1154,2023-08-16,Landing Gear Pin - hardened,Aluminum 6061,Wire EDM,20,11,No,Tanaka-san,5556.26
Q-1155,2024-01-16,Fuel Injector Nozzle - high precision,Aluminum 6061,3-Axis Milling,20,11,No,Tanaka-san,7679.6
Q-1156,2023-10-06,Mounting Bracket - standard,Aluminum 6061,Wire EDM,50,9,No,Suzuki-san,10013.29
Q-1157,2023-09-09,Structural Rib - aerospace grade,Aluminum 6061,3-Axis Milling,5,5,No,Suzuki-san,808.47
Q-1158,2023-12-28,Structural Rib - aerospace grade,Inconel 718,Wire EDM,20,6,No,Suzuki-san,7521.21
Q-1159,2023-08-14,Electronic Chassis - EMI shielded,Titanium Grade 5,CNC Turning,50,7,No,Tanaka-san,9602.27
Q-1160,2023-02-13,Manifold Block - complex internal channels,Aluminum 7075,CNC Turning,5,10,No,Suzuki-san,1724.0
Q-1161,2023-02-04,Fuel Injector Nozzle - high precision,Inconel 718,3-Axis Milling,50,2,No,Tanaka-san,33474.09
Q-1162,2023-10-20,Manifold Block - complex internal channels,Aluminum 6061,5-Axis Milling,50,11,No,Sato-san,32001.36
Q-1163,2023-04-04,Structural Rib - aerospace grade,Aluminum 7075,Wire EDM,100,4,No,Sato-san,19084.76
Q-1164,2024-02-05,Landing Gear Pin - hardened,Titanium Grade 5,Wire EDM,10,5,No,Sato-san,3316.31
Q-1165,2023-08-25,Heat Sink - high fin density,Titanium Grade 5,,10,12,No,Sato-san,3620.28
Q-1166,2023-03-07,Landing Gear Pin - hardened,Inconel 718,Wire EDM,20,3,No,Tanaka-san,8086.09
Q-1167,2023-07-20,Fuel Injector Nozzle - high precision,Titanium Grade 5,Wire EDM,50,6,No,Sato-san,32903.1
Q-1168,2023-08-09,Turbine Blade Housing - thin walls,Titanium Grade 5,Surface Grinding,10,8,Yes,Tanaka-san,5964.01
